ISBN,STORE,PRICE,IMG,TITLE
9780374527259,Textbooks.com,2.5,https://images-na.ssl-images-amazon.com/images/I/51jFlxYRpGL._SL300_.jpg,Sidewalk
9780374527259,Chegg,2.16,https://images-na.ssl-images-amazon.com/images/I/51jFlxYRpGL._SL300_.jpg,Sidewalk
9780374527259,TextbookRush,1.4,https://images-na.ssl-images-amazon.com/images/I/51jFlxYRpGL._SL300_.jpg,Sidewalk
9780374527259,SellBackYourBook,1.08,https://images-na.ssl-images-amazon.com/images/I/51jFlxYRpGL._SL300_.jpg,Sidewalk
9780374527259,BooksRun,0.45,https://images-na.ssl-images-amazon.com/images/I/51jFlxYRpGL._SL300_.jpg,Sidewalk
9780307454546,TextbookRush,0.1,https://images-na.ssl-images-amazon.com/images/I/51R0Xyetq%2BL._SL300_.jpg,The Girl with the Dragon Tattoo (Millennium Series)
9780679723950,Powell's,1.5,https://images-na.ssl-images-amazon.com/images/I/51yQjJUQwmL._SL300_.jpg,"Memories, Dreams, Reflections"
9780679723950,SellBackYourBook,1.33,https://images-na.ssl-images-amazon.com/images/I/51yQjJUQwmL._SL300_.jpg,"Memories, Dreams, Reflections"
9780679723950,TextbookRush,0.7,https://images-na.ssl-images-amazon.com/images/I/51yQjJUQwmL._SL300_.jpg,"Memories, Dreams, Reflections"
9780679723950,Bookstores.com,0.69,https://images-na.ssl-images-amazon.com/images/I/51yQjJUQwmL._SL300_.jpg,"Memories, Dreams, Reflections"
0691153299,SellBackYourBook,3.96,https://images-na.ssl-images-amazon.com/images/I/41zE-%2BxfxfL._SL300_.jpg,The Story of Hebrew (Library of Jewish Ideas)
0691153299,Buyback Express,1.81,https://images-na.ssl-images-amazon.com/images/I/41zE-%2BxfxfL._SL300_.jpg,The Story of Hebrew (Library of Jewish Ideas)
0691153299,TextbookRush,1.5,https://images-na.ssl-images-amazon.com/images/I/41zE-%2BxfxfL._SL300_.jpg,The Story of Hebrew (Library of Jewish Ideas)
0691153299,BooksRun,1.11,https://images-na.ssl-images-amazon.com/images/I/41zE-%2BxfxfL._SL300_.jpg,The Story of Hebrew (Library of Jewish Ideas)
0140444734,SellBackYourBook,1.9,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
0140444734,Textbooks.com,1.5,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
0140444734,Chegg,1.08,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
